snapshot_index,pool_address,fetched_at_utc,bin_array_index,bin_id,distance_from_active,price,price_per_token,liquidity,x_amount,y_amount,composition_y,is_active_bin,raw_bin_array_pubkey,raw_fields_json
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-99,-6861,-21,0.064322147538331158648,64.322147538331158648,42332808886580932766511996412,0,2294903032,1,false,,"{""binId"":-6861,""xAmount"":""0"",""yAmount"":""2294903032"",""supply"":""42332808886580932766511996412"",""version"":2,""price"":""0.064322147538331158648"",""pricePerToken"":""64.322147538331158648"",""feeAmountXPerTokenStored"":""11161437354806649033"",""feeAmountYPerTokenStored"":""735308268883023481"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6860,-20,0.064347876397346491112,64.347876397346491112,42537998484661612213440916027,0,2306054323,1,false,,"{""binId"":-6860,""xAmount"":""0"",""yAmount"":""2306054323"",""supply"":""42537998484661612213440916027"",""version"":2,""price"":""0.064347876397346491112"",""pricePerToken"":""64.347876397346491112"",""feeAmountXPerTokenStored"":""9883798984650609010"",""feeAmountYPerTokenStored"":""661183301861392857"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6859,-19,0.064373615547905429708,64.373615547905429708,46435187179374084269028883672,0,2517904933,1,false,,"{""binId"":-6859,""xAmount"":""0"",""yAmount"":""2517904933"",""supply"":""46435187179374084269028883672"",""version"":2,""price"":""0.064373615547905429708"",""pricePerToken"":""64.373615547905429708"",""feeAmountXPerTokenStored"":""12310574003792770668"",""feeAmountYPerTokenStored"":""798091504550934872"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6858,-18,0.06439936499412459188,64.39936499412459188,46687535956067590889268966028,0,2530976191,1,false,,"{""binId"":-6858,""xAmount"":""0"",""yAmount"":""2530976191"",""supply"":""46687535956067590889268966028"",""version"":2,""price"":""0.06439936499412459188"",""pricePerToken"":""64.39936499412459188"",""feeAmountXPerTokenStored"":""11653145212655214707"",""feeAmountYPerTokenStored"":""763660623415491084"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6857,-17,0.064425124740122241717,64.425124740122241717,46790631291690807225670882739,0,2537122845,1,false,,"{""binId"":-6857,""xAmount"":""0"",""yAmount"":""2537122845"",""supply"":""46790631291690807225670882739"",""version"":2,""price"":""0.064425124740122241717"",""pricePerToken"":""64.425124740122241717"",""feeAmountXPerTokenStored"":""11017412756763390882"",""feeAmountYPerTokenStored"":""716279396353527058"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6856,-16,0.064450894790018290613,64.450894790018290613,46950032341807246436114489400,0,2545262531,1,false,,"{""binId"":-6856,""xAmount"":""0"",""yAmount"":""2545262531"",""supply"":""46950032341807246436114489400"",""version"":2,""price"":""0.064450894790018290613"",""pricePerToken"":""64.450894790018290613"",""feeAmountXPerTokenStored"":""9630274204834916835"",""feeAmountYPerTokenStored"":""607076346483544041"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6855,-15,0.06447667514793429793,64.47667514793429793,47138605402303482148438864023,0,2555641507,1,false,,"{""binId"":-6855,""xAmount"":""0"",""yAmount"":""2555641507"",""supply"":""47138605402303482148438864023"",""version"":2,""price"":""0.06447667514793429793"",""pricePerToken"":""64.47667514793429793"",""feeAmountXPerTokenStored"":""9923214814956054660"",""feeAmountYPerTokenStored"":""613084284566614709"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6854,-14,0.064502465817993471649,64.502465817993471649,47206214765745990941296261838,0,2559305193,1,false,,"{""binId"":-6854,""xAmount"":""0"",""yAmount"":""2559305193"",""supply"":""47206214765745990941296261838"",""version"":2,""price"":""0.064502465817993471649"",""pricePerToken"":""64.502465817993471649"",""feeAmountXPerTokenStored"":""9786696127628957648"",""feeAmountYPerTokenStored"":""616416776963207861"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6853,-13,0.064528266804320669038,64.528266804320669038,47160861827294697367902171354,0,2556765655,1,false,,"{""binId"":-6853,""xAmount"":""0"",""yAmount"":""2556765655"",""supply"":""47160861827294697367902171354"",""version"":2,""price"":""0.064528266804320669038"",""pricePerToken"":""64.528266804320669038"",""feeAmountXPerTokenStored"":""9804786938761977979"",""feeAmountYPerTokenStored"":""626882434383466882"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
0,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2026-06-07T06:38:17.801Z,-98,-6852,-12,0.064554078111042397305,64.554078111042397305,47318592679998965000216002195,0,2565192187,1,false,,"{""binId"":-6852,""xAmount"":""0"",""yAmount"":""2565192187"",""supply"":""47318592679998965000216002195"",""version"":2,""price"":""0.064554078111042397305"",""pricePerToken"":""64.554078111042397305"",""feeAmountXPerTokenStored"":""10281400092427186262"",""feeAmountYPerTokenStored"":""661307321858110243"",""rewardPerTokenStored"":[""0"",""0""],""fulfilledOrderAmountX"":""0"",""fulfilledOrderAmountY"":""0"",""limitOrderFeeAskSide"":""0"",""limitOrderFeeBidSide"":""0"",""openOrderAmount"":""0"",""totalProcessingOrderAmount"":""0"",""processedOrderRemainingAmount"":""0"",""orderAge"":0,""limitOrderAskSide"":true}"
